id,app,content,score,timestamp,aspects,opinions,sentiments,categories,mapped_categories
0,Al Habib,good,5,11/07/2025 10:24,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
1,Al Habib,"Its useless i am trying to register my account. But every time I get an email error, even though my email address is correct. I went to the bank and no one listened to me, nor did I call the helpline to any avail.",1,11/07/2025 5:53,"['email error', 'helpline']","['useless', 'NULL']","['negative', 'negative']","['SUPPORT#GENERAL', 'SUPPORT#GENERAL']","['CUSTOMER_SUPPORT', 'CUSTOMER_SUPPORT']"
2,Al Habib,app is good but I have an issue now I'm living abroad and I'm using app but now app is not open and there is error unable to connect to the server please how to solve this,5,10/07/2025 23:28,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
3,Al Habib,bank is good coie sarvis,5,10/07/2025 21:49,['bank'],['good'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
4,Al Habib,"There is so much wrong about this net banking app of yours, recurring login problems which got fixed after three back to back voice calls to your customer care center. Biometric problem and many more exists till this date. I regret opening an account with BAHL and registering an E-account on BAHL Net Banking application, This was my worst decision to opt for your banking services randomly without any research. BAHL should uplift their net banking services up to the mark.",1,10/07/2025 18:01,"['net banking app', 'biometric problem', 'BAHL Net Banking application']","['wrong', 'NULL', 'worst decision']","['negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']","['APP#FEATURES', 'APP#FEATURES', 'APP#FEATURES']"
5,Al Habib,good app and fast service,5,10/07/2025 17:44,"['app', 'service']","['good', 'fast']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SERVICE#GENERAL']","['APP#FEATURES', 'BRANCH_SERVICE']"
6,Al Habib,I can't tell what that was? they don't have any idea how to create an app. contact me for a better app. I can make it 100 times better.. 1: many times app say that my id password incorrect. and then it login with same. 2: it's not android app it's a WebView . so many times I see 404 error. 3: many times I faced issue while sending amount. 4: zero level UI and so many issues there.,1,10/07/2025 12:29,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
7,Al Habib,"My app is not working since 4 days. i have a business account and all my transactions have been delayed and paused due to this problem. I log in and it shows an error blank comment box, like only error written. pls fix it as soon as possible.",1,10/07/2025 11:13,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
8,Al Habib,Worst Experience app never work properly,1,10/07/2025 2:29,['Experience app'],['Worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
9,Al Habib,stupid not working since 2 days,2,09/07/2025 23:28,['NULL'],['stupid'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
10,Al Habib,❤️ ❤️ ❤️,5,09/07/2025 19:46,['NULL'],['NULL'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
11,Al Habib,easy to use,5,09/07/2025 17:18,['NULL'],['easy'],['positive'],['LAPTOP#USABILITY'],['APP#USABILITY']
12,Al Habib,good 😊,5,09/07/2025 17:09,['NULL'],['good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
13,Al Habib,"Too slow, poor performance, not user-friendly.",1,09/07/2025 14:31,['performance'],['slow'],['negative'],['LAPTOP#OPERATION_PERFORMANCE'],['DEVICE#PERFORMANCE']
14,Al Habib,good app but working issue done,4,09/07/2025 11:53,['app'],['good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
15,Al Habib,"The online banking service is very poor, especially for customers residing outside the country, as there is no adequate support available.",1,09/07/2025 10:47,"['online banking service', 'support']","['poor', 'adequate']","['negative', 'negative']","['SUPPORT#GENERAL', 'SUPPORT#GENERAL']","['CUSTOMER_SUPPORT', 'CUSTOMER_SUPPORT']"
16,Al Habib,Good,5,09/07/2025 10:40,['NULL'],['Good'],['positive'],['LAPTOP#GENERAL'],['APP#GENERAL_EXPERIENCE']
