Id,app,category,sentiment,summary,aspects,opinions
0,Al Habib,APP#FEATURES,neutral,Where is update,update version apps,
1,Al Habib,APP#FEATURES,positive,"Bank should pay special attention to digital banking app as it is a necessity for people these days. I recently moved from Meezan Bank thinking I’d get an upgrade... but joke’s on me! If confusion, frustration and regret had a baby, it would be this app.","App, user interface, Aap, app, Al Habib App, banking app, pethatic app, app update, application, bakwas app, Fazool Bakwas Hai Year App Update B, digital banking app, uBL, Application, bekar application","best, GOOD, good, Grate, Good, essence, excellent, Best, Love, incredible, better, nice, helpful, great"
2,Al Habib,APP#GENERAL_EXPERIENCE,negative,"V bad, its too irritating they don't even know how to run a BANK, pathetic staff, Poor service, neglected customer, 0 response on helpline. bhhht zyada bkwas Appliction hai banking mai bilkul bhi theek sy kam nhi krti 2 ghnty loading mai lg jaty Literally very Disappointed! need improvement very bad experience not Satisfied not sure.",customer,"not sure, neglected, DISappointed, not Satisfied, bad"
3,Al Habib,APP#GENERAL_EXPERIENCE,neutral,New device registered ni ho ri,device,ok
4,Al Habib,APP#GENERAL_EXPERIENCE,positive,Biometric hogya hogya phr again again again bio matric per le jarehe ha app good 👍 It's good step. It's a good step and a good first step. Good job good job great job.,"designer, aap","best, good, better, nice, helpful, great"
5,Al Habib,APP#PERFORMANCE,positive,"Bank Alhabib app is very simple and easy to use. App doesn't support dark mode, so text on many of the pages are not visible.","app, application, mobile banking App, App","improved, simple, good, smart, better, good experience, great"
6,Al Habib,APP#USABILITY,negative,not useful features,,not useful
7,Al Habib,APP#USABILITY,positive,easy to use,,easy
8,Al Habib,APP#USABILITY_FEATURES,positive,"The app is user-friendly, secure, and fast. Fund transfers, bill payments, and account management are seamless. Biometric login and real-time alerts make banking simple and reliable on the go.","app, bill payments, ""Share Screenshot"" option, biometric login, real-time alerts, account management, fund transfers","user-friendly, seamless, useful, secure, impeccable, fast"
9,Al Habib,ATM_SERVICE,negative,ATM problems,ATM,
10,Al Habib,BANK_REPUTATION,positive,"A masterpiece of overengineering, all in the noble name of “security.” I recently moved from Meezan Bank thinking I’d get an upgrade... but joke’s on me! Compared to this, Meezans and even UBL feel like Silicon Valley innovations.","developer, meezan",better
11,Al Habib,BIOMETRIC#GENERAL,negative, biometric scanner hony k bad bhi ap open nhi ho rhi,biometric scanner,
12,Al Habib,BIOMETRIC#GENERAL,positive,Fazool JB biometric hogya phr again again bio matric,fazool JB biometric hogya phr,
13,Al Habib,BIOMETRIC#LOGIN_ISSUES,negative, not able to login with the new mobile as nothing happened when I clicked on the perform biometric button .. fingerprint doesn't work.,"fingerprint, perform biometric button",
14,Al Habib,BIOMETRIC#PERFORMANCE,negative,Firm has been crashing repeatedly since the start of July. Biometrics get disabled automatically.,Biometrics,fine
15,Al Habib,BRANCH_SERVICE,negative,"I'm extremely disappointed with the service at Bank Al Habib. Despite lodging two complaints, my issue remains unresolved. The Chunian (0348) branch ATM is often out of service, and staff behavior is unprofessional. Serious improvement is needed.","helpline staff, staff behavior, services, service, Branch, experience, banking staff, staff","third class, not cooperative, unprofessional, disappointed, pathetic, Bad bad, not good, bad, bad experience, poor"
16,Al Habib,BRANCH_SERVICE,positive,Bank all Habib very good service 3rd class service superb service customer excellent caring and cooperative ghatiya services great service good service very help ful excellent service hm good services.,"services, customer, ghatiya services, service","superb, good, excellent, ful, 3rd class, fast, great"
17,Al Habib,CUSTOMER_SUPPORT,negative,"The online banking service is very poor, especially for customers residing outside the country, as there is no adequate support available. I went to the bank and no one listened to me, nor did I call the helpline to any avail. It's been 7 days I have been locked out of my own account.","bank, online banking service, pesco bill, customer feedback, net banking, Al Habib bank network, banking network, customer care, helpline, support, customer, email error, customer service, bank al habib, support team","extremely disappointed, not deserved, Worst, low, adequate, Bad experience, worst, frustrating, useless, bad, rude, disappointing, poor"
18,Al Habib,CUSTOMER_SUPPORT,positive,Bank is good coie sarvis Good bank 3rd class application & system. annual charges of this bank are more than HBL & meezan bank. My experience with bank alhabib is great.,"bank, habib banks of pakistan, bank service, digital banking, customer service, Bank, bank alhabib","good, Good, Best, Excellent, great"
19,Al Habib,DEVICE#PERFORMANCE,negative,"Not working since 2 days Too slow, poor performance, not user-friendly. slow performance often Update something, smooth it out, it's the same old features. Always errors and problems stestem not working. having transaction issues 7 out of 10 times. you guys just built it thinking it's 2001 very disappointed.","device, stestem, Not Working Properly, device redmi13, performance, ap","slow, disappointed, errors, pathetic, Not Working Properly, stupid, bad, complicated"
20,Al Habib,DEVICE#PERFORMANCE,positive,working too good,,good
21,Al Habib,ENVIRONMENT_FEEDBACK,neutral, bar bar update,bar bar,
22,Al Habib,FEES_CHARGES,negative,"The Chunian (0348) branch ATM is often out of service, and staff behavior is unprofessional. Due to frequent server issues, we rely on other bank ATMs like Faisal Bank. Now with the govt's AK-47 tax on ATM use, we face extra charges for your poor services.",government's AK-47 tax on ATM use,
23,Al Habib,LOCATION_FEEDBACK_MISC,neutral, update nhe,Rahe aaj,
24,Al Habib,LOCATION_FEEDBACK_MISC,positive,Good pa rformce alhamdullilah good experience one off the best ap in Pakistan otp jldi nhi at,"pa rformce, alhamdullilah, kr rahi ho, ap","best, good"
25,Al Habib,SYSTEM#PERFORMANCE,negative,"The overall performance is extremely slow, making even the simplest tasks frustrating and time-consuming. The user interface feels like it’s from 10 years ago. Even basic services like OTP or biometric login often don’t work properly.","UI, Bank AL Habib, login screen, overall performance, system","out dated, slow, nothing seems to improve, down, could be improved"
26,Al Habib,SYSTEM#PERFORMANCE,positive,"I’m very disappointed with the current state of your mobile app. It’s extremely slow, often unresponsive, and sometimes crashes altogether. The overall user experience is frustrating, and I hope this feedback helps drive improvements soon. Thank you.",feedback,helps drive improvements
27,Al Habib,SYSTEM_UI,negative, UI/UX,UI/UX,not top notch
28,Al Habib,UTILITIES#POWER_ISSUE,negative,Please add electricity bill fresco company all other company add but fresco is not,,
29,Al Habib,UTILITIES#POWER_ISSUE,positive,Asalamo Alikam. kindly electricity bill mai fesco,electricity bill,
30,HBL,APP#COST_FEEDBACK,positive,Make it easy to full fill needs regarding to money,,easy
31,HBL,APP#FEATURES,negative,This App Deserve 1 Star Because The App Does Not Scan Fingerprints while Creating Account on HBL App. While OTP System Is Very Worst. The OTP Is Received But I Am Unable To Enter OTP. This App Interface Is Very Bad. can't put otp in otp section.,"app, OTP System, banking app, Pakistani Banking Application, services, HBL biometric verification, auto OTP entering option, online transaction limit changing feature, otp, phone banking, App Interface","not appreciated, difficult, Third-class, Worst, not compatible, pathetic, thrilled, need new features, worst, not good, bad, Bad"
32,HBL,APP#FEATURES,neutral,How to get Account Statement of 1 year using HBL App? latest virgon update har 4 din din ata ha gd app.,"gd app, virgon update, zbrdst app, Account Statement",
33,HBL,APP#GENERAL_EXPERIENCE,negative,I want to change my mobile num buz mri sim ghume ho gie hai how can I log in why it is not compatible with my phone. Everything error it was good but I want to say that I send the balance to someone he didn't get that but the balance from my account was deducted.,"Experience, mobile num buz mri sim ghume ho gie","not compatible, good, error, not good, bad, Bad, poor"
34,HBL,APP#GENERAL_EXPERIENCE,neutral,everything ok,,ok
35,HBL,APP#GENERAL_EXPERIENCE,positive,Good over all. best for everyone good work very nice extra fine with thanks nice. good well very good Very nice I like it very much soo good Good experience excellent 👌 good very goodvery good i feel better very good good appreciate this aap.,"device, HBL, aap, Experience, ap","best, like, good, fine, Good, excellent, updated, better, nice"
36,HBL,APP#PERFORMANCE,positive,I feel my banking in my hand every thing about banking is in my pocket. HBL mobile app is very easy and helpful for everyone. It have very advance feature . This app is so heplful and easy way.,"App, HBL app, app, aap, HBL mobile app, system life, interface","good, helpful, fine, heplful, Good, soothing, easy, outstanding, comfortable, fast"
37,HBL,APP#USABILITY,positive,Very good and use ful for us It's very helpful and easy to use. Easy to use and helpful for pay Utility Bills & many more.,use,"smooth, Easy, good, easy, helpful"
38,HBL,APP#USABILITY_FEATURES,negative,To add beneficiary must be in HBL ONLINE BANKING also which can open in PC only. If difficulty to use HBL Account customer's will go to other BANKS Mobile screens are small to see clearly.,HBL ONLINE BANKING,
39,HBL,APP#USABILITY_FEATURES,neutral,You should allow using the app even if it's not,app,
40,HBL,APP#USABILITY_FEATURES,positive,The digital banking options make everything so convenient. The App is user friendly and easy to use. It should be available on old phone. like android 6 version supported mobile. very very useful app.,"App, app, aap, hbl app, digital banking options, HBL MOBILE APP","use full, fantastic, valued, prefer, user friendly, useful, great useful, excellent, convenient, use this app, appreciate, helpful"
41,HBL,BALANCE#FUNCTIONALITY,positive,I have union pay debit card. Why my avialble balance is negative and current balance is,current balance,positive
42,HBL,BANK_REPUTATION,positive, thanx HBL uys ,"slary, HBL",best
43,HBL,BIOMETRIC#GENERAL,negative,"Tpin, ID , Bio matrix, now special condition worse banking experience cannot perform a transition since 1 month. good... but customers are vulnerable to cyber frauds...data breaches...not safe anymore.","customers, Bio matrix, ID",vulnerable
44,HBL,BIOMETRIC#LOGIN_ISSUES,negative,"You can't insert the OTP as the keypad doesn't open. It's been more than one year since the review above, it still doesn't work. Unable to use the app on new phone.","OTP, otp field, keyboard, Fingerprints",
45,HBL,BIOMETRIC#PERFORMANCE,negative,I have union pay debit card. Why my avialble balance is negative and current balance is,avialble balance,negative
46,HBL,BRANCH_SERVICE,negative,The app works fine but it does not let you enter a persons name more the 15 characters. When you try to launch a compliant about the facing issue all of the staff at any branch and the appointed Konnect Agents do not listen to the customer and turned rude.,"Services, HBL, service, LOANS, staff","terrible, Large, bad, rude, bad experience, ANNOYING"
47,HBL,BRANCH_SERVICE,positive,"HBL is a most comfortable and convenient and helpful bank, I always prefer this. good... but customers are vulnerable to cyber frauds...data breaches...not safe anymore excellent work... good jobs.... good app good service.","HBL service, work, HBL, services, service, jobs, HBL je service, staff","pleasure, good, exceptional, Good, Love, excellent, comfortable, Excellent, well, nice, helpful, great"
48,HBL,CARD_SETTINGS_SUPPORT,negative,"One cannot change debit card settings in Card Management Option. All you can do is block and change PIN. Cannot change Ecommerce, POS, ATM,",debit card settings,
49,HBL,CUSTOMER_SUPPORT,negative,HBL blocked My Mrs account and now they asking for source of income. Their names are not showing in the statement. You cannot login or re seer password without calling them. So much for online service.,"online service, Pakistan HBL, customer service, Call Center Customer support experience, bank HBL ALLAH ki qasam SA, credit card ka bill pay, people, loan notification, BANK, data breaches, banking, customer support, transaction issue, credit card apply, bank, bank administration, foreign remittance fee for RDA, customer service app, bank services","laziest, terrible, WORST, pathetic, thrilled, irritated, unacceptable, worst, declinches the transaction without clear justification, not safe anymore, bad, no option, outrageous, Pathetic"
50,HBL,CUSTOMER_SUPPORT,positive,"Best part was the first time verification, have never seen any bank doing it in a blink of an eye. Online banking is a very good way, we get to do all of us, so that we are to do everything online with this. This makes us and many work easier Online SSC.","SBL Banking, bank, banking, HBL, bank of Pakistan, QR payment option, HBL Bank, meezan Bank andar, banking service","best, love, good, liked, reliable, Best, Awesome"
51,HBL,DELIVERY_RELATED_FEEDBACK,negative, too much hidden charges. worst bank ever.,bank,worst
52,HBL,DEVICE#PERFORMANCE,negative,Imran khan is a long-time customer of uae. He has been facing an issue with Forgotten Login ID 2. Not receiving SMS notifications or OTPs on his registered mobile number.,"phone, balance, device","slow, strange, not recommended, incompatible, not good, poor"
53,HBL,DEVICE#PERFORMANCE,positive,"Very useful and quick working very easy and thanks while using it. Simple, fast and secure....! Best ever.",,"simple, easy, useful, good"
54,HBL,EMAIL_SMS_SERVICE,positive,Fast transaction with instant,Email,instant
55,HBL,LOCATION_FEEDBACK_MISC,positive,I hope you will add a statement option of more than 2 months soon. very nice app hai aur HBL je service koi aur nahi de Sakta. kamal he ya Encouraging,"5 star, Sakta","Encouraging, nice"
56,HBL,MISC#APP_FEEDBACK,positive,Best servuces. Exelent Exelent,"servuces, Exelent","Best, Exelent"
57,HBL,SCREEN#GENERAL_FEEDBACK,positive, screen shots issue good,screen shots,"fine, good"
58,HBL,SERIES_FEEDBACK_MISC,negative,The worst bank in,SERIES,WORST
59,HBL,SUPPORT#PERFORMANCE,positive,"""It's very easy to have transactions on time",transactions,easy
60,HBL,SYSTEM#PERFORMANCE,negative,Why does main screen amount disappear on login again and again,main screen amount,
61,HBL,TRANSACTION_SPEED,positive,Fast transaction with instant,transaction,Fast
62,HBL,UTILITIES#PERFORMANCE,negative,It's really slow to process mobile,,slow
63,Meezan Bank,APP#DESIGN_FEEDBACK,negative,"Please improve the UI, it's not really engaging and should not offer a design that looks like 1990. It should offer smoothness and better UI design like other banks Jazzcash, Nayapay, Sadapay.","UI, app","not really engaging, worst"
64,Meezan Bank,APP#DESIGN_FEEDBACK,positive,"i encountered difficulty in opening the application today, evertime it directs me to install application via play store and even after doing so it again turn to same page resulting no application access further more .Plz fix this issue to make it suitable for every one to operate easily.",application design,awesome
65,Meezan Bank,APP#FEATURES,negative,"This is the most boring and useless application in the world, from Meezan Bank. The 2 apps classic and mobile app are not synchronized. The view on a tablet is totally unusable. Please get a good UI designer.","mobile app, app, app interface, card management details, application, Mobile Banking App, apps classic, UI designer","poor, good, not synchronized, old, boring, useless, bad, difficult to understand, Not a, great"
66,Meezan Bank,APP#FEATURES,neutral,Which app are we supposed to use ? this one or the Meezan bank classic app ? i recently updated my meezanbank classic app & it also installed this app on my phone. kindly guide.,meezanbank classic app,
67,Meezan Bank,APP#FEATURES,positive,"Good app overall, but I'm unable to link my Raast ID with my account. The app is updated and everything is correct, but it still doesn't work. Good app very good experience, new interface with amazing features.","achi app, Apps, Bank app, Payoneer account linking option, apps, interface, meezan Bank apps, app, mobile application, Masha Allah Zabardast App, App response, options, APP, application, Meezan Bank app, App, mobile app, classic app, meezan digital app, appp, Application","best, superb, Good, greatest, love, super, good, fantastic, excellent, nice, helpful, improved, Great, Excellent, better, Thank you so much, great, Awsome, Nice, amazing, benefited"
68,Meezan Bank,APP#GENERAL_EXPERIENCE,negative,"Very bad experience still many features missing WTH! You want so many documents which is so annoying AND A SELFIE? WHYY??? AND YET after completing the verification, I have to wait 2 hours to access the app?? What if I wanted to make an urgent payment?? JUST WHYYY.",documents,"annoying, bad"
69,Meezan Bank,APP#GENERAL_EXPERIENCE,neutral,What is the different between this version and classic version Best ok,version,"Best, different"
70,Meezan Bank,APP#GENERAL_EXPERIENCE,positive,Till now it's good. very great. try more to facilitate good experience good. V Good thumbs up from me Best Of All very good.,V,"best, good, 5, fantastic, thumbs up, Good, amazing, excellent, satisfied, Best, Love, awesome, Awesome, Good luck, nice, great"
71,Meezan Bank,APP#PERFORMANCE,neutral,"Trying to log in since months but it always asks for biometric and gets stuck after scaning left hand, same works ok on iOS",iOS,ok
72,Meezan Bank,APP#PERFORMANCE,positive,"The app runs smoothly without any bugs or crashes. I'd love to see a more modern, animated UI in future updates. A Gen Z–friendly typeface would add freshness.","app, application","Great, Nice, good, soft, impressed, fast"
73,Meezan Bank,APP#QUALITY_FEEDBACK,negative,Poor sever and p,,poor
74,Meezan Bank,APP#TABLET_VIEW_ISSUE,negative,"The 2 apps classic and mobile app are not synchronized. The view on a tablet is totally unusable, i cant even see the buttons properly. i updated the password for my account on the mobile app, but the passwords for the classic didn't change.",view on a tablet,unusable
75,Meezan Bank,APP#USABILITY,positive,Its to good for use.. very nice and easy method Excellent ...easy to use easy to use,,"Excellent, easy, nice, good"
76,Meezan Bank,APP#USABILITY_FEATURES,negative,No tap and pay feature is there kindly include it,,
77,Meezan Bank,APP#USABILITY_FEATURES,positive,The app is overall very good and user-friendly. It would be good if you could add email & phone number updates in account settings in the app or on the website.,"App, UI UX, app, banking app, application, option to download account statements","user-friendly, friendly, perfect, easy to use and navigate, easy, Best, awesome, great"
78,Meezan Bank,BIOMETRIC#LOGIN_ISSUES,negative, finger scanning is not working i restored my mobile phone than i downloaded again but now iam unable to scan my fingerprints this showing error of your fingerprints mismatch with nadra record. iam very frustrated kindly solve this issue.,fingerprints,frustrated
79,Meezan Bank,BRANCH_SERVICE,negative,"Meezan Bank has been providing very poor service for the past month. We request the management to resolve this issue seriously, otherwise we will close our account. I am facing many issue on this App I cannot be able to do transaction.",service,"disappointed, bad, poor"
80,Meezan Bank,BRANCH_SERVICE,neutral,good service ok,service,good
81,Meezan Bank,BRANCH_SERVICE,positive,Meezan Bank is very good bank and it's staff also very punctual and loyal and hard worker a great services. veey good servises excellent experience great service good job.,"servises, job, Service, services, service, staff, Meezan, working","best, Slowly, Great, puncual, good, professional and helpful, Good, amazing, excellent, outstanding, Excellent, well, wonderful, great"
82,Meezan Bank,CUSTOMER_SUPPORT,negative,"Avoid Meezan Bank for Payoneer withdrawals, as your payment may get stuck. Worst Bank I have ever seen they block amount and scam. How can I login without Atm card no. They did not give me Atm Card.","meezan bank, Pakistan no 1 bank system, biometric, service of online banking, Atm Card, Bank, Meezan Bank’s Poor Service","worst, pathetic, slow, Worst"
83,Meezan Bank,CUSTOMER_SUPPORT,positive,"""I'm very satisfied with your professional and helpful staff"" ""I like meezan Bank very good bank in pakistan"" ""Meezan bank is on the way to provide more services response compared to other banking networks""","bank, banking experience, Online Services, amount, banking, banking services, banking system, bank service, meezan Bank, Meezan bank, Meezan Bank Management, banking service","best, like, good, Fantastic, Good, amazing, excellent, Best, Excellent, Simple, Thank you, nice"
84,Meezan Bank,DEVICE#PERFORMANCE,negative,"Useless very useless Very slow, very buggy and Pathetic. not working on my Huawei phone it takes too long to open and even it stucks also my balance has stuck from previous 9 months. I registered a complaint many times through the branch but still my problem is the same as day one.","Huawei phone, balance","stuck, slow, useless"
85,Meezan Bank,DEVICE#PERFORMANCE,positive,Fast & Smart overall good experience in use no stuck or lack during its usage good running it's awesome and fast it just works. easy and helpful i like it It's good and work well It is very fast and reliable at least works when needed Good working.,"Fast & Smart, working","good, Good, easy, awesome, fast"
86,Meezan Bank,LIGHTING_OR_LOCATION_ISSUE,negative,"Even after scanning the correct ID card under full bright lighting conditions, I am getting an error that either the ID card is fake or lighting is low!",lighting,low
87,Meezan Bank,LOCATION_FEATURES,negative,"This App is too slow, take so much time to open. Transaction are slow! Location feature is so annoying and its not working properly. Review option at the end of every transaction is so frustrating.",location feature,annoying
